image,kind,title,condition,matching_pdf,matching_musicxml,source_url,notes
printed_photos/01_fantasy_p5__flat.jpg,printed_guitar,"Fancy (Fantasia), Poulton 05",flat,printed_ground_truth/01_fantasy_p5.pdf,printed_ground_truth/01_fantasy_p5.mxl,https://guitarloot.org.uk/Scores/EnglishMusic/Dowland/FantasyP5GtrAS.pdf,"First page rendered from matching PDF, then photographed-style distortion applied."
printed_photos/02_fancy_p6__tilt_left.jpg,printed_guitar,"Fancy (Fantasia), Poulton 06",tilt_left,printed_ground_truth/02_fancy_p6.pdf,printed_ground_truth/02_fancy_p6.mxl,https://guitarloot.org.uk/Scores/EnglishMusic/Dowland/FancyP6Gtr.pdf,"First page rendered from matching PDF, then photographed-style distortion applied."
printed_photos/03_solus_cum_sola__soft_shadow.jpg,printed_guitar,Solus cum Sola,soft_shadow,printed_ground_truth/03_solus_cum_sola.pdf,printed_ground_truth/03_solus_cum_sola.mxl,https://guitarloot.org.uk/Scores/EnglishMusic/Dowland/SolusCumSolaGtriPad.pdf,"First page rendered from matching PDF, then photographed-style distortion applied."
printed_photos/04_solus_sine_sola__perspective.jpg,printed_guitar,Solus sine Sola,perspective,printed_ground_truth/04_solus_sine_sola.pdf,printed_ground_truth/04_solus_sine_sola.mxl,https://guitarloot.org.uk/Scores/EnglishMusic/Dowland/SolusSineSolaGtrA.pdf,"First page rendered from matching PDF, then photographed-style distortion applied."
printed_photos/05_dr_cases_pavan__tilt_right.jpg,printed_guitar,Dr Case's Pavan,tilt_right,printed_ground_truth/05_dr_cases_pavan.pdf,printed_ground_truth/05_dr_cases_pavan.mxl,https://guitarloot.org.uk/Scores/EnglishMusic/Dowland/CaseP.iPad.pdf,"First page rendered from matching PDF, then photographed-style distortion applied."
printed_photos/06_lachrimae_pavan__hard_shadow.jpg,printed_guitar,Lachrimae Pavan,hard_shadow,printed_ground_truth/06_lachrimae_pavan.pdf,printed_ground_truth/06_lachrimae_pavan.mxl,https://guitarloot.org.uk/Scores/EnglishMusic/Dowland/LachPav.iPad.pdf,"First page rendered from matching PDF, then photographed-style distortion applied."
printed_photos/07_digorie_pipers_galliard__flat.jpg,printed_guitar,Captain Digorie Piper's Galliard,flat,printed_ground_truth/07_digorie_pipers_galliard.pdf,printed_ground_truth/07_digorie_pipers_galliard.mxl,https://guitarloot.org.uk/Scores/EnglishMusic/Dowland/DigoryGallGtrAS.pdf,"First page rendered from matching PDF, then photographed-style distortion applied."
printed_photos/08_dowlands_first_galliard__tilt_left.jpg,printed_guitar,Dowland's First Galliard,tilt_left,printed_ground_truth/08_dowlands_first_galliard.pdf,printed_ground_truth/08_dowlands_first_galliard.mxl,https://guitarloot.org.uk/Scores/EnglishMusic/Dowland/Dowlands1stGallP22AS.pdf,"First page rendered from matching PDF, then photographed-style distortion applied."
printed_photos/09_frog_galliard__soft_shadow.jpg,printed_guitar,The Frog Galliard,soft_shadow,printed_ground_truth/09_frog_galliard.pdf,printed_ground_truth/09_frog_galliard.mxl,https://guitarloot.org.uk/Scores/EnglishMusic/Dowland/FrogTGtrA.pdf,"First page rendered from matching PDF, then photographed-style distortion applied."
printed_photos/10_galliard_p24__perspective.jpg,printed_guitar,"Galliard, Poulton 24",perspective,printed_ground_truth/10_galliard_p24.pdf,printed_ground_truth/10_galliard_p24.mxl,https://guitarloot.org.uk/Scores/EnglishMusic/Dowland/Galliard24GtrAS.pdf,"First page rendered from matching PDF, then photographed-style distortion applied."
printed_photos/11_melancholy_galliard__tilt_right.jpg,printed_guitar,Melancholy Galliard,tilt_right,printed_ground_truth/11_melancholy_galliard.pdf,printed_ground_truth/11_melancholy_galliard.mxl,https://guitarloot.org.uk/Scores/EnglishMusic/Dowland/MelancholyGalliardGtrDiPad.pdf,"First page rendered from matching PDF, then photographed-style distortion applied."
printed_photos/12_galliard_p27__hard_shadow.jpg,printed_guitar,"Galliard, Poulton 27",hard_shadow,printed_ground_truth/12_galliard_p27.pdf,printed_ground_truth/12_galliard_p27.mxl,https://guitarloot.org.uk/Scores/EnglishMusic/Dowland/GalliardP27Gtr.iPad.pdf,"First page rendered from matching PDF, then photographed-style distortion applied."
printed_photos/13_galliard_p28__flat.jpg,printed_guitar,"Galliard, Poulton 28",flat,printed_ground_truth/13_galliard_p28.pdf,printed_ground_truth/13_galliard_p28.mxl,https://guitarloot.org.uk/Scores/EnglishMusic/Dowland/GalliardP28Gtr.pdf,"First page rendered from matching PDF, then photographed-style distortion applied."
printed_photos/14_giles_hobies_galliard__tilt_left.jpg,printed_guitar,Giles Hobie's Galliard,tilt_left,printed_ground_truth/14_giles_hobies_galliard.pdf,printed_ground_truth/14_giles_hobies_galliard.mxl,https://guitarloot.org.uk/Scores/EnglishMusic/Dowland/HobieGallGtrAS.pdf,"First page rendered from matching PDF, then photographed-style distortion applied."
printed_photos/15_galliard_p30__soft_shadow.jpg,printed_guitar,"Galliard, Poulton 30",soft_shadow,printed_ground_truth/15_galliard_p30.pdf,printed_ground_truth/15_galliard_p30.mxl,https://guitarloot.org.uk/Scores/EnglishMusic/Dowland/Gall30GtrA.pdf,"First page rendered from matching PDF, then photographed-style distortion applied."
handwritten_photos/01_CVC-MUSCIMA_W-07_N-05_D-ideal__soft_shadow.jpg,handwritten_general_notation,CVC-MUSCIMA_W-07_N-05_D-ideal,soft_shadow,,,https://ufal.mff.cuni.cz/muscima,Real handwriting. Not guitar-specific. Clean reference image is in handwritten_sources.
handwritten_photos/02_CVC-MUSCIMA_W-29_N-10_D-ideal__perspective.jpg,handwritten_general_notation,CVC-MUSCIMA_W-29_N-10_D-ideal,perspective,,,https://ufal.mff.cuni.cz/muscima,Real handwriting. Not guitar-specific. Clean reference image is in handwritten_sources.
handwritten_photos/03_CVC-MUSCIMA_W-37_N-17_D-ideal__tilt_right.jpg,handwritten_general_notation,CVC-MUSCIMA_W-37_N-17_D-ideal,tilt_right,,,https://ufal.mff.cuni.cz/muscima,Real handwriting. Not guitar-specific. Clean reference image is in handwritten_sources.
handwritten_photos/04_CVC-MUSCIMA_W-27_N-16_D-ideal__hard_shadow.jpg,handwritten_general_notation,CVC-MUSCIMA_W-27_N-16_D-ideal,hard_shadow,,,https://ufal.mff.cuni.cz/muscima,Real handwriting. Not guitar-specific. Clean reference image is in handwritten_sources.
